timestamp_iso,unix_ts,speaker_id,lock_state,confidence,status,pan_command,tilt_command,pan_angle,tilt_angle,face_x,face_y
2026-06-12T16:36:29.249,1781274989,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,98.0,94.8,,
2026-06-12T16:36:29.438,1781274989,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,106.0,99.6,,
2026-06-12T16:36:29.649,1781274989,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,114.0,104.4,,
2026-06-12T16:36:29.832,1781274989,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,122.0,109.2,,
2026-06-12T16:36:29.960,1781274989,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,130.0,114.0,,
2026-06-12T16:36:30.144,1781274990,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,138.0,115.0,,
2026-06-12T16:36:30.354,1781274990,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,140.0,110.2,,
2026-06-12T16:36:30.617,1781274990,nicole,SEARCHING,0.0,SEARCH,SCAN,SCAN,132.0,105.4,,
2026-06-12T16:36:30.811,1781274990,nicole,TRACKING,0.8244,MOVE_RIGHT,RIGHT,CENTERED,108.1,99.9,908,348
2026-06-12T16:36:31.189,1781274991,nicole,TRACKING,0.5983,CENTERED,CENTERED,CENTERED,101.2,97.4,674,366
2026-06-12T16:36:31.321,1781274991,nicole,TRACKING,0.7933,CENTERED,CENTERED,CENTERED,96.4,95.7,674,367
2026-06-12T16:36:31.401,1781274991,nicole,TRACKING,0.5923,CENTERED,CENTERED,CENTERED,93.6,94.4,661,366
2026-06-12T16:36:31.515,1781274991,nicole,TRACKING,0.7111,CENTERED,CENTERED,CENTERED,93.4,94.5,619,379
2026-06-12T16:36:31.623,1781274991,nicole,TRACKING,0.8238,CENTERED,CENTERED,CENTERED,93.7,94.7,610,381
2026-06-12T16:36:31.739,1781274991,nicole,TRACKING,0.8269,CENTERED,CENTERED,CENTERED,94.0,95.0,606,383
2026-06-12T16:36:31.807,1781274991,nicole,TRACKING,0.8088,CENTERED,CENTERED,CENTERED,94.3,95.6,604,388
2026-06-12T16:36:31.893,1781274991,nicole,TRACKING,0.7851,CENTERED,CENTERED,CENTERED,94.8,96.3,597,392
